	Adolescent birth rate, per 1,000 women	Agriculture support estimate for OECD countries as % of their GDP	Agriculture support estimate for OECD countries, million US$	AIDS deaths	AIDS deaths (lower bound)	AIDS deaths (upper bound)	AIDS orphans (one or both parents)	Antenatal care coverage, at least four visits, %	Antenatal care coverage, at least one visit, %	Births attended by skilled health personnel, %	Children 1 year old immunized against measles, %	Children under 5 moderately or severely underweight, %	Children under 5 sleeping under insecticide-treated bed nets, %	Children under 5 with fever being treated with anti-malarial drugs, %	Children under five mortality rate per 1,000 live births	Condom use at last high-risk sex, 15-24 years old, men, %	Condom use at last high-risk sex, 15-24 years old, women, %	Condom use to overall contraceptive use among currently married women 15-49 years old, %	Consumption of all Ozone-Depleting Substances in ODP metric tons	Current contraceptive use among married women 15-49 years old, any method, %	Current contraceptive use among married women 15-49 years old, condom, %	Current contraceptive use among married women 15-49 years old, modern methods, %	Debt relief committed under HIPC initiative, cumulative million US$ in end-2009 NPV terms	Debt relief delivered in full under MDRI initiative, cumulative million US$ in end-2009 NPV terms	Debt service as % of exports of goods and services and net income	Developed country imports from the LDCs, admitted duty free, %	Employment-to-population ratio, both sexes, %	Employment-to-population ratio, men, %	Employment-to-population ratio, women, %	Fixed-telephone subscriptions	Fixed-telephone subscriptions per 100 inhabitants	Gender Parity Index in primary level enrolment	Gender Parity Index in secondary level enrolment	Gender Parity Index in tertiary level enrolment	Growth rate of GDP per person employed, %	HIV incidence rate, 15-49 years old, % (lower bound)	HIV incidence rate, 15-49 years old, % (mid-point)	HIV incidence rate, 15-49 years old, % (upper bound)	Infant mortality rate (0-1 year) per 1,000 live births	Internet users per 100 inhabitants	Literacy rates of 15-24 years old, both sexes, %	Literacy rates of 15-24 years old, men, %	Literacy rates of 15-24 years old, women, %	Maternal mortality ratio per 100,000 live births	Men 15-24 years old with comprehensive correct knowledge of HIV/AIDS, %	Mobile-cellular subscriptions	Mobile-cellular subscriptions per 100 inhabitants	Net ODA as % of OECD/DAC donors GNI	Net ODA to LDCs as % of OECD/DAC donors GNI	Net ODA to LDCs, million US$	Net ODA, million US$	ODA provided to help build trade capacity, %	ODA received in landlocked developing countries as % of their GNI	ODA received in landlocked developing countries, million US$	ODA received in small islands developing States as % of their GNI	ODA received in small islands developing States, million US$	ODA that is untied, million US$	ODA that is untied, %	ODA to basic social services as % of sector-allocable ODA	ODA to basic social services, million US$	People living with HIV, 15-49 years old, %	People living with HIV, 15-49 years old, % (lower bound)	People living with HIV, 15-49 years old, % (upper bound)	% of pupils starting grade 1 who reach last grade of primary, both sexes	% of pupils starting grade 1 who reach last grade of primary, boys	% of pupils starting grade 1 who reach last grade of primary, girls	Population below national poverty line, rural, %	Population below national poverty line, total, %	Population below national poverty line, urban, %	Population undernourished, millions	Population undernourished, %	Primary completion rate, both sexes	Primary completion rate, boys	Primary completion rate, girls	Proportion of own-account and contributing family workers in total employment, both sexes, %	Proportion of own-account and contributing family workers in total employment, men, %	Proportion of own-account and contributing family workers in total employment, women, %	Proportion of the population using improved drinking water sources, rural	Proportion of the population using improved drinking water sources, total	Proportion of the population using improved drinking water sources, urban	Proportion of the population using improved sanitation facilities, rural	Proportion of the population using improved sanitation facilities, total	Proportion of the population using improved sanitation facilities, urban	Ratio of school attendance rate of orphans to school attendance rate of non orphans	Ratio of youth unemployment rate to adult unemployment rate, both sexes	Ratio of youth unemployment rate to adult unemployment rate, men	Ratio of youth unemployment rate to adult unemployment rate, women	School attendance rate of children aged 10-14 both of whose parents are alive and who live with at least one parent	School attendance rate of orphans aged 10-14	Seats held by men in national parliament	Seats held by women in national parliament	Seats held by women in national parliament, %	Share of women in wage employment in the non-agricultural sector	Share of youth unemployed to total unemployed, both sexes	Share of youth unemployed to total unemployed, men	Share of youth unemployed to total unemployed, women	Share of youth unemployed to youth population, both sexes	Share of youth unemployed to youth population, men	Share of youth unemployed to youth population, women	Total net enrolment ratio in primary education, both sexes	Total net enrolment ratio in primary education, boys	Total net enrolment ratio in primary education, girls	Total number of seats in national parliament	Tuberculosis death rate per year per 100,000 population (lower bound)	Tuberculosis death rate per year per 100,000 population (mid-point)	Tuberculosis death rate per year per 100,000 population (upper bound)	Tuberculosis detection rate under DOTS, % (lower bound)	Tuberculosis detection rate under DOTS, % (mid-point)	Tuberculosis detection rate under DOTS, % (upper bound)	Tuberculosis incidence rate per year per 100,000 population (lower bound)	Tuberculosis incidence rate per year per 100,000 population (mid-point)	Tuberculosis incidence rate per year per 100,000 population (upper bound)	Tuberculosis prevalence rate per 100,000 population (lower bound)	Tuberculosis prevalence rate per 100,000 population (mid-point)	Tuberculosis prevalence rate per 100,000 population (upper bound)	Unmet need for family planning, limiting, %	Unmet need for family planning, spacing, %	Unmet need for family planning, total, %	Women 15-24 years old with comprehensive correct knowledge of HIV/AIDS, %	Women to men parity index, as ratio of literacy rates, 15-24 years old	Youth unemployment rate, aged 15-24, both sexes	Youth unemployment rate, aged 15-24, men	Youth unemployment rate, aged 15-24, women
Afghanistan				292	107	1090					75	25			97.3				17.7				680	27	1.2	99.84				95769	0.31	0.7	0.54			0.0012	0.004	0.01	70.2	5.9				400		21588228	70.66						25.21	5261.51							0.02	0.01	0.11							7.7	25.1							42.1	50	72.6	25.8	30	42.1							180	69	27.71											249	27	42	53	47	53	60	167	189	212	178	340	554								
Albania	17.6			15	9	25					99				14.9				5.67						5.14		44.5	51	38.5	281200	8.86			1.3	14.2	0.0036	0.0065	0.01	13.3	57.2				21		3685983	116.15														0.03	0.02	0.06								5				58.1	54.8	62	94.8	95.5	96.1	87.2	91.7	95.3		2.2	2.1	2.2			118	22	15.71	41.4	23.4	25.5	19.8							140	0.45	0.64	0.86	69	81	95	16	18	22	12	27	47						30.23	32.54	26.13
Algeria	12.4			1371	501	3269		67.3	92.7	96.6	95				25.2				51.97						0.41					3132829	7.99	0.94		1.51		0.0053	0.01	0.01	21.6	16.5				89		39517045	100.78														0.1	0.05	0.17								5	105.54	105.72	105.35	26.9	27.5	24.4	82.4	85.4	86.7	79.6	87	90.2		3.7	3.9	3.3			316	146	31.6	17.6	42.7	44.8	38.3							462	5.6	13	21	54	66	79	67	81	98	64	126	209						24.8	21.6	39.78
American Samoa																														10000	18.12																																															100	100	100	62.4	62.4	62.4																					0.19	0.64	1.4				5.7	7.2	8.8	3.9	9.4	17								
Andorra											95				3				0											38572	48.69								2.2	94						63931	80.7																								5							100	100	100	100	100	100							14	14	50											28	0.1	0.33	0.69	77	87	99	6.4	7.3	8.2	2.5	8.2	17								
Angola				11515	6258	18029	120000				91				167.4				15.43						6.92	99.99				214950	1					0.17	0.28	0.41	101.6	19.1				460		13285198	61.87														2.35	1.65	3.21							3.5	16.5							29.8	48.2	73	20.9	48.7	86.2							145	75	34.09											220	16	32	46	77	85	95	286	320	353	209	423	711								
Anguilla																														6000	41.95									64.8						26000	181.81									7.62																							94.5	94.5		97.9	97.9																					0	0	0	0	0	0	17	21	25	18	51	101								
Antigua and Barbuda								100		100	98				9.3				0.22											33133	36.82								7.7	63.4						114358	127.08								0.13	1.56																						97.9	97.9	97.9	91.4	91.4	91.4							17	2	10.52											19	1.2	1.4	1.5	77	87	99	11	13	14	9.6	20	35								
Argentina				1548	916	2215				97.04	91				13.3				497.7						5.61					9662084	23.31					0.01	0.02	0.03	11.9	59.9				69		67361515	162.52																						4.7		5							95	98.4	98.8	95.1	95.2	95.2							161	96	37.35	42.4										257	1.3	1.4	1.4	78	89	98	22	24	28	14	31	56								
Armenia	22.7			188	101	381					97				15.6				4.54						21.58					578450	19.43			1.5		0.01	0.02	0.05	14	41.9				29		3346275	112.42						2.54	277.79							0.19	0.12	0.31				31.7	32	32.2	0.2	6.7							98	99	99.7	78.2	89.4	96		2.6	2.7	2.7			117	14	10.68	43.51	25.4	27.8	23.4	13.2	12.8	13.6				131	4.8	5.7	6.7	83	95	100	45	49	57	31	66	115						36.05	31.83	41.46
Aruba	33.8																													35000	34									78.9						138800	134.87																															97.8	97.8	97.8	97.7	97.7	97.7																					0.09	0.45	1.1	77	87	99	11	12	14	4.9	16	35								
Australia	14.1	0.13	1963.88	80	99	199					94				4				48.32								61.3	67.3	55.4	10350000	44.33	0.99	0.92	1.37	1.45	0.0053	0.0098	0.01	3.4	83				6		24940000	106.84	0.33	0.08	1299.36	4845.55	14.13					2024.26	98.66	16.64	532.71	0.17	0.12	0.21								5							100	100	100	100	100	100		2.8	3	2.6			113	37	24.66	47.3	36.8	37	36.5	8.2	8.8	7.5	97.49	97.27	97.72	150	0.19	0.19	0.2	79	86	93	5.8	6.2	6.8	3.1	7.6	14						12.2	13	11.3
Austria											76				3.9												58.5	64.3	53	3334000	39.24	0.99	0.96	1.19	0.43				3.2	80.61				4		13272000	156.23	0.27	0.07	341.01	1171.49	28.92					160.82	57.61	1.47	7.29											5	98.26	98.31	98.2	8.7	9.2	8.3	100	100	100	100	100	100		2.2	2.1	2.2			132	51	27.86	48	25	24.2	25.8	5.4	5.6	5.2				183	0.34	0.34	0.35	80	88	95	7.7	8.4	9.1	4.7	11	20						9.2	8.9	9.4
Azerbaijan	47.2			537	353	778					98				34.2				1.76						2.05					1757855	18.67					0.01	0.02	0.02	29.9	58.7				26		10130102	107.61														0.15	0.11	0.2					5.3			5				56.4	51.1	62.1	72.8	83.7	93	77.8	83.2	87.8		3.7	4.1	3.4			105	20	16	42.6	33.5	36.6	31.3							125	3.5	3.9	4.2	63	73	81	77	85	99	42	105	197						13.75	12.01	15.63
Bahamas				542	516	571		85		98	92				12.9				2.72											136000	36.03					0.16	0.19	0.28	10.4	72				37		287000	76.05														3.22	3.07	3.51															98.2	98.2	98.2	91.7	91.7	91.7							33	5	13.15											38	0.42	0.48	0.55	83	89	94	9.3	9.8	11	4.6	9.9	17								
